weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1111,-0.6751,-5,0.3393,0.1341,0.0666,0.0315,1111
0,01:00:00,704,-4.6534,-8,0.2457,0.0838,0.0426,0.0213,704
0,02:00:00,93,-1.0000,-12,0.2258,0.1183,0.0860,0.0538,93
0,03:00:00,97,4.9485,-7,0.3608,0.2165,0.1546,0.0619,97
0,04:00:00,101,-6.5941,-10,0.1683,0.0693,0.0495,0.0198,101
0,05:00:00,8124,-2.3449,-6,0.2566,0.0678,0.0364,0.0201,8124
0,06:00:00,67456,-1.7045,-6,0.2814,0.0871,0.0446,0.0218,67456
0,07:00:00,60481,-0.3979,-6,0.3147,0.1142,0.0603,0.0271,60481
0,08:00:00,60399,0.9611,-5,0.3383,0.1325,0.0730,0.0336,60399
0,09:00:00,53073,1.9301,-5,0.3500,0.1449,0.0821,0.0388,53073
0,10:00:00,56618,3.2521,-4,0.3727,0.1568,0.0901,0.0428,56618
0,11:00:00,57991,4.4317,-3,0.3880,0.1739,0.1020,0.0485,57991
0,12:00:00,53636,5.4501,-3,0.3938,0.1825,0.1102,0.0551,53636
0,13:00:00,56385,6.3198,-3,0.4158,0.1983,0.1169,0.0565,56385
0,14:00:00,53423,8.1516,-2,0.4374,0.2204,0.1354,0.0663,53423
0,15:00:00,52745,8.7710,-2,0.4384,0.2250,0.1413,0.0709,52745
0,16:00:00,54155,10.0465,-2,0.4477,0.2403,0.1529,0.0804,54155
0,17:00:00,59274,10.5051,-2,0.4483,0.2448,0.1599,0.0869,59274
0,18:00:00,51268,10.9201,-1,0.4578,0.2557,0.1664,0.0889,51268
0,19:00:00,53757,10.6132,-2,0.4448,0.2552,0.1715,0.0923,53757
0,20:00:00,36416,9.8240,-2,0.4415,0.2549,0.1714,0.0885,36416
0,21:00:00,26899,9.2632,-2,0.4461,0.2408,0.1560,0.0789,26899
0,22:00:00,14600,7.4187,-3,0.4210,0.2170,0.1380,0.0736,14600
0,23:00:00,4465,4.6031,-4,0.3969,0.1946,0.1216,0.0589,4465
1,00:00:00,1010,-0.1683,-6,0.3307,0.1386,0.0733,0.0337,1010
1,01:00:00,610,-3.1344,-8,0.2984,0.1180,0.0656,0.0295,610
1,02:00:00,96,3.7917,-11,0.2708,0.1250,0.0417,0.0312,96
1,03:00:00,92,20.7391,0,0.4891,0.3370,0.2717,0.1848,92
1,04:00:00,83,2.2892,-8,0.3976,0.2048,0.1205,0.0723,83
1,05:00:00,8031,-2.2687,-6,0.2534,0.0685,0.0355,0.0195,8031
1,06:00:00,66516,-2.5959,-7,0.2643,0.0813,0.0409,0.0195,66516
1,07:00:00,59271,-1.1526,-6,0.3035,0.1090,0.0563,0.0251,59271
1,08:00:00,58506,0.0752,-5,0.3252,0.1233,0.0666,0.0298,58506
1,09:00:00,51610,0.6925,-5,0.3338,0.1332,0.0753,0.0336,51610
1,10:00:00,54200,1.9054,-4,0.3552,0.1475,0.0827,0.0369,54200
1,11:00:00,55579,2.5818,-4,0.3684,0.1575,0.0888,0.0390,55579
1,12:00:00,51880,3.5688,-4,0.3741,0.1658,0.0957,0.0443,51880
1,13:00:00,54928,4.7206,-3,0.3935,0.1809,0.1062,0.0491,54928
1,14:00:00,51963,6.0380,-3,0.4153,0.1976,0.1187,0.0567,51963
1,15:00:00,51455,6.7711,-2,0.4239,0.2049,0.1242,0.0613,51455
1,16:00:00,52668,7.7624,-2,0.4295,0.2184,0.1364,0.0669,52668
1,17:00:00,57778,8.5227,-2,0.4360,0.2306,0.1476,0.0754,57778
1,18:00:00,49145,9.1629,-2,0.4438,0.2397,0.1560,0.0785,49145
1,19:00:00,51580,8.2837,-3,0.4271,0.2354,0.1518,0.0782,51580
1,20:00:00,35515,7.3827,-3,0.4119,0.2262,0.1476,0.0763,35515
1,21:00:00,24513,6.5944,-3,0.4157,0.2197,0.1381,0.0660,24513
1,22:00:00,13457,4.9059,-3,0.4008,0.1986,0.1176,0.0543,13457
1,23:00:00,4132,1.1982,-5,0.3729,0.1742,0.0949,0.0370,4132
2,00:00:00,944,-0.8665,-5,0.3538,0.1356,0.0689,0.0275,944
2,01:00:00,584,-3.2192,-7,0.2945,0.1182,0.0582,0.0188,584
