weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1304,6.6787,-2,0.4448,0.1863,0.0943,0.0460,1304
0,01:00:00,661,0.3434,-4,0.3676,0.1437,0.0560,0.0182,661
0,02:00:00,161,3.7453,-5,0.3913,0.2112,0.1056,0.0311,161
0,03:00:00,49,14.0000,5,0.5510,0.3469,0.2245,0.0816,49
0,04:00:00,72,2.9306,-3,0.4861,0.2639,0.1389,0.0278,72
0,05:00:00,6259,-0.0570,-4,0.3066,0.0828,0.0417,0.0211,6259
0,06:00:00,70709,0.4239,-4,0.3236,0.0989,0.0481,0.0222,70709
0,07:00:00,72003,2.0106,-3,0.3664,0.1300,0.0656,0.0295,72003
0,08:00:00,71901,3.2134,-3,0.3917,0.1501,0.0779,0.0334,71901
0,09:00:00,66185,4.7534,-2,0.4179,0.1730,0.0930,0.0406,66185
0,10:00:00,65031,6.0709,-1,0.4417,0.1936,0.1056,0.0465,65031
0,11:00:00,66371,6.6345,-1,0.4416,0.1983,0.1124,0.0510,66371
0,12:00:00,64657,7.7960,-1,0.4555,0.2102,0.1203,0.0573,64657
0,13:00:00,64022,9.6748,0,0.4756,0.2330,0.1392,0.0657,64022
0,14:00:00,64883,10.9144,0,0.4867,0.2468,0.1523,0.0750,64883
0,15:00:00,63299,12.0662,1,0.5015,0.2628,0.1638,0.0802,63299
0,16:00:00,63691,13.2985,1,0.5069,0.2760,0.1755,0.0891,63691
0,17:00:00,70577,14.8822,2,0.5237,0.2975,0.1940,0.1007,70577
0,18:00:00,63011,15.2072,1,0.5148,0.2964,0.1955,0.1056,63011
0,19:00:00,59151,15.4041,2,0.5198,0.2999,0.2002,0.1057,59151
0,20:00:00,41763,14.3671,1,0.5162,0.2957,0.1952,0.0997,41763
0,21:00:00,32827,12.7296,1,0.5090,0.2736,0.1724,0.0873,32827
0,22:00:00,12733,8.4711,-1,0.4581,0.2262,0.1417,0.0682,12733
0,23:00:00,6123,5.4857,-2,0.4415,0.2012,0.1191,0.0524,6123
1,00:00:00,1296,3.2022,-4,0.3912,0.1597,0.0903,0.0424,1296
1,01:00:00,639,0.2003,-4,0.3818,0.1424,0.0704,0.0282,639
1,02:00:00,140,-1.1143,-5,0.3429,0.1286,0.0571,0.0286,140
1,03:00:00,37,15.6216,1,0.5405,0.2973,0.2432,0.1351,37
1,04:00:00,70,-1.2286,-5,0.3857,0.2429,0.1286,0.0429,70
1,05:00:00,6231,-1.4391,-5,0.2831,0.0721,0.0345,0.0175,6231
1,06:00:00,71280,-0.9526,-5,0.3078,0.0863,0.0412,0.0183,71280
1,07:00:00,71717,0.8817,-4,0.3483,0.1213,0.0585,0.0238,71717
1,08:00:00,70589,1.7453,-3,0.3738,0.1367,0.0683,0.0278,70589
1,09:00:00,64615,2.6621,-3,0.3910,0.1545,0.0775,0.0303,64615
1,10:00:00,62101,3.1676,-3,0.4031,0.1591,0.0833,0.0326,62101
1,11:00:00,64039,3.2662,-3,0.3955,0.1647,0.0861,0.0350,64039
1,12:00:00,62201,4.5964,-3,0.4077,0.1795,0.0995,0.0414,62201
1,13:00:00,62936,6.2410,-2,0.4274,0.1962,0.1129,0.0513,62936
1,14:00:00,64058,7.4232,-1,0.4425,0.2114,0.1257,0.0567,64058
1,15:00:00,62756,8.9202,-1,0.4619,0.2304,0.1411,0.0661,62756
1,16:00:00,63432,10.2967,0,0.4736,0.2472,0.1557,0.0744,63432
1,17:00:00,70326,12.4081,0,0.4948,0.2746,0.1785,0.0900,70326
1,18:00:00,62642,12.2901,0,0.4889,0.2741,0.1773,0.0875,62642
1,19:00:00,58688,12.1549,0,0.4837,0.2733,0.1788,0.0908,58688
1,20:00:00,41616,11.5747,0,0.4709,0.2670,0.1772,0.0888,41616
1,21:00:00,32597,9.1101,-1,0.4633,0.2377,0.1483,0.0685,32597
1,22:00:00,12203,5.0185,-3,0.4159,0.1919,0.1145,0.0492,12203
1,23:00:00,5729,2.8984,-4,0.3875,0.1787,0.1012,0.0438,5729
2,00:00:00,1252,1.0559,-4,0.3746,0.1486,0.0695,0.0351,1252
2,01:00:00,636,0.4921,-4,0.3506,0.1226,0.0645,0.0267,636
2,02:00:00,95,-3.6105,-7,0.3579,0.1053,0.0737,0.0105,95
2,03:00:00,36,11.4167,-6,0.4167,0.2222,0.1389,0.0833,36
2,04:00:00,73,0.0274,-6,0.2877,0.1781,0.1233,0.0685,73
2,05:00:00,6309,-0.8743,-5,0.2744,0.0723,0.0380,0.0230,6309
2,06:00:00,71942,-0.9174,-5,0.3066,0.0886,0.0423,0.0185,71942
2,07:00:00,72400,1.1756,-4,0.3531,0.1225,0.0606,0.0248,72400
2,08:00:00,71421,2.5414,-3,0.3810,0.1435,0.0740,0.0316,71421
2,09:00:00,65566,3.6154,-3,0.4029,0.1653,0.0870,0.0348,65566
2,10:00:00,63619,4.5482,-2,0.4183,0.1729,0.0936,0.0406,63619
2,11:00:00,65215,4.8384,-2,0.4191,0.1807,0.0997,0.0417,65215
2,12:00:00,63282,6.0729,-2,0.4287,0.1925,0.1083,0.0494,63282
2,13:00:00,63539,8.0449,-1,0.4535,0.2130,0.1258,0.0598,63539
2,14:00:00,64371,9.4281,0,0.4659,0.2281,0.1404,0.0675,64371
2,15:00:00,62869,11.0962,0,0.4930,0.2515,0.1548,0.0750,62869
2,16:00:00,63598,13.0611,1,0.5089,0.2711,0.1732,0.0869,63598
2,17:00:00,70607,14.9548,2,0.5331,0.2984,0.1954,0.1001,70607
2,18:00:00,62775,15.1303,2,0.5258,0.3006,0.1966,0.1017,62775
2,19:00:00,59032,15.8916,2,0.5265,0.3045,0.2046,0.1074,59032
2,20:00:00,41791,14.9617,2,0.5216,0.3036,0.2017,0.1044,41791
2,21:00:00,32957,11.9464,1,0.5020,0.2663,0.1695,0.0814,32957
2,22:00:00,12467,7.2059,-1,0.4519,0.2163,0.1336,0.0598,12467
2,23:00:00,5903,5.3874,-2,0.4403,0.2068,0.1167,0.0493,5903
3,00:00:00,1262,2.9731,-2,0.4017,0.1751,0.0951,0.0357,1262
3,01:00:00,646,2.3452,-3,0.3885,0.1393,0.0635,0.0170,646
3,02:00:00,158,-3.8228,-8,0.3101,0.1392,0.0443,0.0127,158
3,03:00:00,38,22.7895,7,0.6316,0.3158,0.2105,0.1842,38
3,04:00:00,74,-4.6216,-10,0.2703,0.1351,0.0270,0.0135,74
3,05:00:00,6417,-0.7156,-5,0.3003,0.0799,0.0371,0.0189,6417
3,06:00:00,72191,0.5949,-4,0.3261,0.1001,0.0477,0.0218,72191
3,07:00:00,72818,2.4577,-3,0.3740,0.1322,0.0651,0.0279,72818
3,08:00:00,72429,3.9227,-2,0.4016,0.1576,0.0803,0.0348,72429
3,09:00:00,66371,5.3692,-2,0.4339,0.1833,0.0972,0.0400,66371
3,10:00:00,64898,6.7609,-1,0.4552,0.1997,0.1081,0.0473,64898
3,11:00:00,66534,7.3600,-1,0.4592,0.2085,0.1164,0.0490,66534
3,12:00:00,64413,8.8909,0,0.4780,0.2246,0.1294,0.0583,64413
3,13:00:00,63938,11.6422,1,0.5074,0.2538,0.1512,0.0713,63938
3,14:00:00,64624,13.2555,2,0.5244,0.2723,0.1677,0.0811,64624
3,15:00:00,62932,15.7126,3,0.5539,0.3030,0.1906,0.0938,62932
3,16:00:00,63082,18.1238,4,0.5713,0.3244,0.2106,0.1074,63082
3,17:00:00,69999,20.3702,5,0.5960,0.3532,0.2339,0.1218,69999
3,18:00:00,62361,21.1402,5,0.5951,0.3587,0.2436,0.1287,62361
3,19:00:00,58744,22.1006,6,0.6036,0.3723,0.2543,0.1355,58744
3,20:00:00,41777,21.9897,6,0.6048,0.3742,0.2581,0.1376,41777
3,21:00:00,32824,18.2341,5,0.5872,0.3415,0.2231,0.1103,32824
3,22:00:00,13003,13.2566,3,0.5454,0.2846,0.1769,0.0851,13003
3,23:00:00,6340,11.1995,3,0.5498,0.2771,0.1557,0.0669,6340
4,00:00:00,1308,2.7668,-2,0.4235,0.1621,0.0803,0.0336,1308
4,01:00:00,677,4.7607,-2,0.4535,0.1610,0.0857,0.0384,677
4,02:00:00,160,-1.0063,-6,0.3500,0.1375,0.0625,0.0187,160
4,03:00:00,41,42.4390,14,0.6341,0.4878,0.3902,0.3171,41
4,04:00:00,75,-1.4000,-8,0.3200,0.1467,0.0667,0.0667,75
4,05:00:00,6367,0.3349,-4,0.3196,0.0873,0.0422,0.0207,6367
4,06:00:00,71445,1.1249,-4,0.3431,0.1041,0.0502,0.0234,71445
4,07:00:00,72399,2.7328,-3,0.3847,0.1366,0.0686,0.0310,72399
4,08:00:00,72247,4.1345,-2,0.4140,0.1613,0.0848,0.0370,72247
4,09:00:00,66345,5.8082,-1,0.4505,0.1891,0.1026,0.0414,66345
4,10:00:00,65026,7.4293,0,0.4725,0.2075,0.1158,0.0504,65026
