year,dest,origin,count,avg_arr_delay,arr_wheels_up
2005,ATL,BOS,5817,11.127600,140.109500
2005,ATL,BWI,6276,13.026900,90.571100
2005,ATL,CLT,4773,11.291200,46.559800
2005,ATL,DEN,5173,9.124900,146.715100
2005,ATL,DFW,10537,12.350500,99.488300
2005,ATL,DTW,5528,14.674900,90.991300
2005,ATL,EWR,8718,18.426800,112.827000
2005,ATL,IAH,5569,14.734400,96.263200
2005,ATL,JFK,2275,12.486200,113.977600
2005,ATL,LAS,4345,4.864900,203.249000
2005,ATL,LAX,4798,7.079800,225.307200
2005,ATL,LGA,8975,17.831200,114.863300
2005,ATL,MCO,8666,12.602500,66.818300
2005,ATL,MSP,6491,7.709300,123.023600
2005,ATL,ORD,7700,14.929500,89.328700
2005,ATL,PHX,3558,6.308300,188.524700
2005,ATL,SEA,2171,6.207300,252.602900
2005,ATL,SFO,3545,6.752900,245.414400
2005,ATL,SLC,3080,7.517900,188.745800
2005,BOS,ATL,5886,15.967600,122.156100
2005,BOS,BWI,4862,11.294500,60.278900
2005,BOS,CLT,3274,10.778900,99.607800
2005,BOS,DEN,2252,11.239300,203.381400
2005,BOS,DFW,3444,11.385900,190.147800
2005,BOS,DTW,2617,19.211700,86.068800
2005,BOS,EWR,5149,17.872200,40.711600
2005,BOS,IAH,1814,9.323000,198.177000
2005,BOS,JFK,4962,15.683200,39.290800
2005,BOS,LAS,1648,5.799200,273.129200
2005,BOS,LAX,2604,6.394400,298.225400
2005,BOS,LGA,12438,3.572100,37.622200
2005,BOS,MCO,3473,9.211600,145.905600
2005,BOS,MSP,1790,18.319000,139.306700
2005,BOS,ORD,7003,14.965000,110.806700
2005,BOS,PHX,915,-1.991300,267.574900
2005,BOS,SEA,610,9.377000,289.427900
2005,BOS,SFO,2666,10.419700,306.791800
2005,BOS,SLC,715,7.163600,244.330100
2005,BWI,ATL,6703,12.816500,80.197400
2005,BWI,BOS,4876,9.087600,64.856800
2005,BWI,CLT,3393,7.010300,56.740600
2005,BWI,DEN,1906,9.703600,176.370400
2005,BWI,DFW,3350,5.679700,148.110700
2005,BWI,DTW,1884,11.992000,65.439500
2005,BWI,EWR,1434,19.865400,36.902400
2005,BWI,IAH,1950,1.823100,154.345600
2005,BWI,JFK,672,0.232100,37.977700
2005,BWI,LAS,1786,2.692600,240.887500
2005,BWI,LAX,1455,1.145700,269.585600
2005,BWI,MCO,4819,3.043800,107.105400
2005,BWI,MSP,1537,11.188000,120.739800
2005,BWI,ORD,3633,9.407700,85.113100
2005,BWI,PHX,2864,1.292900,231.259100
2005,BWI,SFO,526,7.384000,280.011400
2005,BWI,SLC,690,1.087000,220.355100
2005,CLT,ATL,4946,11.944800,42.008300
2005,CLT,BOS,3211,7.669000,111.901000
2005,CLT,BWI,3406,4.083400,61.660600
2005,CLT,DEN,1934,6.524300,161.118400
2005,CLT,DFW,3993,5.810900,120.809700
2005,CLT,DTW,1971,7.129900,77.999500
2005,CLT,EWR,4790,12.043800,84.891900
2005,CLT,IAH,2464,2.377800,119.894100
2005,CLT,JFK,347,18.881800,87.763700
