year,dest,origin,count,avg_arr_delay,arr_wheels_up
2004,ATL,BOS,5108,8.739800,139.176600
2004,ATL,BWI,6410,9.259000,90.146600
2004,ATL,CLT,4499,9.227800,47.074000
2004,ATL,DEN,5146,7.050500,146.338100
2004,ATL,DFW,11168,11.035900,98.920800
2004,ATL,DTW,5607,12.235800,91.593000
2004,ATL,EWR,8425,16.642700,112.472800
2004,ATL,IAH,5678,13.782700,95.960700
2004,ATL,JFK,2771,13.311100,112.992400
2004,ATL,LAS,3391,6.476900,202.469800
2004,ATL,LAX,4545,10.629500,223.991000
2004,ATL,LGA,8371,10.851500,113.638500
2004,ATL,MCO,7468,12.299800,66.913600
2004,ATL,MSP,6184,6.593800,124.113700
2004,ATL,ORD,8117,16.699500,90.340800
2004,ATL,PHX,3469,4.396100,188.069800
2004,ATL,SEA,1917,9.888900,251.335900
2004,ATL,SFO,3339,2.879900,244.336900
2004,ATL,SLC,3176,7.188900,186.709100
2004,BOS,ATL,5830,7.563300,120.708900
2004,BOS,BWI,5043,6.058700,59.431700
2004,BOS,CLT,2850,4.868400,98.738600
2004,BOS,DEN,2633,2.276900,201.079000
2004,BOS,DFW,4231,4.325500,187.636300
2004,BOS,DTW,2733,9.363700,84.089600
2004,BOS,EWR,5291,8.324700,39.221500
2004,BOS,IAH,1662,7.717200,195.279800
2004,BOS,JFK,3908,3.439600,38.701100
2004,BOS,LAS,1456,9.067300,269.750000
2004,BOS,LAX,3549,3.228200,295.778500
2004,BOS,LGA,12571,-0.479100,36.426900
2004,BOS,MCO,3618,2.637400,145.324800
2004,BOS,MSP,2069,7.380900,137.053600
2004,BOS,ORD,7554,11.707300,108.512300
2004,BOS,PHX,790,12.155700,264.597500
2004,BOS,SEA,986,7.678500,284.821500
2004,BOS,SFO,2984,5.473500,304.837500
2004,BOS,SLC,725,7.227600,239.027600
2004,BWI,ATL,6889,10.908100,79.571800
2004,BWI,BOS,5046,6.160300,64.986900
2004,BWI,CLT,2865,4.346200,56.519700
2004,BWI,DEN,1786,4.857200,174.202100
2004,BWI,DFW,3333,6.276300,148.867700
2004,BWI,DTW,2282,7.496500,65.638900
2004,BWI,EWR,1469,16.230100,36.976900
2004,BWI,IAH,1889,5.623100,151.783000
2004,BWI,JFK,351,16.284900,41.746400
2004,BWI,LAS,1653,8.423500,242.425900
2004,BWI,LAX,1714,0.598600,268.998200
2004,BWI,MCO,4439,7.630300,107.848800
2004,BWI,MSP,1641,7.492400,120.580700
2004,BWI,ORD,4095,7.763900,84.599300
2004,BWI,PHX,2889,3.724800,231.243700
2004,BWI,SEA,7,-18.571400,266.142900
2004,BWI,SFO,578,1.795800,277.636700
2004,BWI,SLC,365,1.197300,217.649300
2004,CLT,ATL,4528,7.755500,41.737400
2004,CLT,BOS,2819,3.394800,111.489200
2004,CLT,BWI,2858,0.535300,61.666900
2004,CLT,DEN,2341,0.989300,160.132400
2004,CLT,DFW,3725,3.576900,119.085900
2004,CLT,DTW,2012,5.028800,77.178900
2004,CLT,EWR,4450,8.447600,84.656000
2004,CLT,IAH,2918,-0.572300,119.176800
2004,CLT,LAS,1155,9.127300,219.083100
2004,CLT,LAX,1416,-1.511300,245.824200
2004,CLT,LGA,3135,-3.732100,86.681000
2004,CLT,MCO,2812,6.300900,74.293700
2004,CLT,MSP,1815,2.778000,119.895300
2004,CLT,ORD,5163,7.917900,85.774000
2004,CLT,PHX,853,-4.643600,205.294300
2004,CLT,SEA,345,-6.939100,258.194200
2004,CLT,SFO,1283,-1.156700,262.637600
2004,DEN,ATL,5515,10.162800,166.792000
2004,DEN,BOS,2278,2.359100,241.813000
2004,DEN,BWI,1789,-0.139700,206.965900
2004,DEN,CLT,2305,2.623000,189.675900
2004,DEN,DFW,7485,5.020300,94.784000
2004,DEN,DTW,2377,7.310500,160.105200
2004,DEN,EWR,2594,5.284500,221.911300
2004,DEN,IAH,4175,4.742500,120.149700
2004,DEN,JFK,1108,7.411600,223.337500
2004,DEN,LAS,4061,7.069200,84.806200
2004,DEN,LAX,5900,3.755800,111.086800
2004,DEN,LGA,1791,1.530400,223.201000
2004,DEN,MCO,1404,0.972200,209.674500
2004,DEN,MSP,5142,4.441500,99.209800
2004,DEN,ORD,7139,9.570000,125.405500
2004,DEN,PHX,4965,4.598200,81.494900
2004,DEN,SEA,4343,4.050900,129.763500
2004,DEN,SFO,3408,2.396400,120.157900
2004,DEN,SLC,4599,4.983500,58.699300
2004,DFW,ATL,11557,11.423200,110.714700
2004,DFW,BOS,4207,2.157100,220.217500
2004,DFW,BWI,3321,1.927400,171.777500
2004,DFW,CLT,3740,3.879100,140.202100
2004,DFW,DEN,7544,5.314700,87.377400
2004,DFW,DTW,4395,6.406100,144.569700
