year,dest,origin,count,avg_arr_delay,arr_wheels_up
2013,ATL,BOS,5415,7.380800,139.004200
2013,ATL,BWI,6906,9.660200,88.596600
2013,ATL,CLT,7018,7.101700,43.663300
2013,ATL,DEN,4921,10.212600,143.390600
2013,ATL,DFW,7280,6.210400,96.642700
2013,ATL,DTW,4989,2.526400,89.879300
2013,ATL,EWR,4876,13.233200,111.993800
2013,ATL,IAH,5098,6.981000,92.714000
2013,ATL,JFK,1898,6.380400,111.986300
2013,ATL,LAS,4219,2.494700,201.805900
2013,ATL,LAX,4946,0.748300,223.457100
2013,ATL,LGA,10041,11.322500,113.555000
2013,ATL,MCO,8854,4.306500,64.297300
2013,ATL,MSP,5544,4.010300,118.867400
2013,ATL,ORD,7404,15.300900,86.456500
2013,ATL,PHX,3945,-0.393400,185.113300
2013,ATL,SEA,2760,2.839500,250.108700
2013,ATL,SFO,3201,0.611700,243.598300
2013,ATL,SLC,2637,4.490700,185.673900
2013,BOS,ATL,5425,0.225100,120.424300
2013,BOS,BWI,5618,6.580300,59.460300
2013,BOS,CLT,3861,4.598300,98.856500
2013,BOS,DEN,2469,12.950200,203.349500
2013,BOS,DFW,3902,5.887700,186.692700
2013,BOS,DTW,2260,1.724300,83.077400
2013,BOS,EWR,5242,4.794500,40.313200
2013,BOS,IAH,1788,-3.781300,193.684000
2013,BOS,JFK,5773,4.913000,38.481200
2013,BOS,LAS,803,11.140700,271.785800
2013,BOS,LAX,3590,3.443200,298.877200
2013,BOS,LGA,4002,-2.419500,37.850800
2013,BOS,MCO,3418,6.230800,145.154500
2013,BOS,MSP,1709,1.497400,136.480400
2013,BOS,ORD,6854,9.021900,108.158400
2013,BOS,PHX,1429,0.785900,262.018900
2013,BOS,SEA,1356,0.213900,285.428500
2013,BOS,SFO,4027,5.053100,305.842100
2013,BOS,SLC,583,-1.921100,241.114900
2013,BWI,ATL,6888,1.732900,80.167800
2013,BWI,BOS,5601,6.257600,66.235100
2013,BWI,CLT,3844,6.547300,57.492500
2013,BWI,DEN,1984,10.005000,174.788800
2013,BWI,DFW,1927,7.563100,149.298400
2013,BWI,DTW,3152,2.974300,65.442900
2013,BWI,EWR,524,15.076300,37.164100
2013,BWI,IAH,916,-4.802400,151.431200
2013,BWI,JFK,1148,8.984300,39.083600
2013,BWI,LAS,1381,4.338200,244.980400
2013,BWI,LAX,916,2.425800,271.610300
2013,BWI,LGA,15,-7.866700,40.466700
2013,BWI,MCO,3718,6.596600,107.214900
2013,BWI,MSP,1267,2.940000,119.195700
2013,BWI,ORD,2822,11.707300,86.859000
2013,BWI,PHX,1718,2.671700,232.728800
2013,BWI,SEA,175,7.285700,275.725700
2013,BWI,SFO,422,6.829400,277.296200
2013,BWI,SLC,1015,2.919200,217.968500
2013,CLT,ATL,7017,4.308400,41.730700
2013,CLT,BOS,3864,4.092900,113.366500
2013,CLT,BWI,3837,3.012800,62.107600
