year,dest,origin,count,avg_arr_delay,arr_wheels_up
2007,ATL,BOS,5598,9.241200,138.929300
2007,ATL,BWI,5433,7.138200,89.027100
2007,ATL,CLT,5934,7.574700,44.707300
2007,ATL,DEN,6132,5.870200,145.931800
2007,ATL,DFW,9644,11.003100,98.626900
2007,ATL,DTW,5942,11.900500,95.457300
2007,ATL,EWR,7656,12.762800,111.343900
2007,ATL,IAH,4812,9.331900,95.377000
2007,ATL,JFK,1647,25.295100,112.653900
2007,ATL,LAS,4725,4.170200,205.579700
2007,ATL,LAX,5376,9.567300,228.259300
2007,ATL,LGA,9842,13.325400,114.103500
2007,ATL,MCO,9344,7.422600,66.020500
2007,ATL,MSP,5822,8.848700,122.511900
2007,ATL,ORD,7138,12.827400,87.937200
2007,ATL,PHX,4401,4.446500,188.449000
2007,ATL,SEA,2533,6.523100,252.103800
2007,ATL,SFO,3346,6.890000,247.519700
2007,ATL,SLC,2777,4.809100,188.300300
2007,BOS,ATL,5611,7.679200,123.465900
2007,BOS,BWI,5454,12.940800,61.648900
2007,BOS,CLT,3274,14.343600,101.201000
2007,BOS,DEN,2361,17.093600,202.510000
2007,BOS,DFW,3020,15.641700,190.747000
2007,BOS,DTW,2435,17.060400,84.992600
2007,BOS,EWR,3994,17.231300,40.878800
2007,BOS,IAH,1893,10.514500,199.505500
2007,BOS,JFK,7762,19.701400,39.741700
2007,BOS,LAS,1683,12.084400,272.225800
2007,BOS,LAX,2969,11.819500,297.883800
2007,BOS,LGA,11448,5.317300,37.526300
2007,BOS,MCO,3602,8.334300,148.757600
2007,BOS,MSP,1622,13.197900,137.254000
2007,BOS,ORD,7006,15.850400,109.430800
2007,BOS,PHX,1190,5.260500,263.945400
2007,BOS,SEA,950,5.947400,284.443200
2007,BOS,SFO,2551,10.216800,305.081100
2007,BOS,SLC,698,7.018600,242.422600
2007,BWI,ATL,5457,10.319400,80.757400
2007,BWI,BOS,5439,14.096200,65.847400
2007,BWI,CLT,3795,13.340200,57.908000
2007,BWI,DEN,2582,11.425600,175.671200
2007,BWI,DFW,2621,13.820700,148.635600
2007,BWI,DTW,3416,8.519900,66.657800
2007,BWI,EWR,1309,20.520200,37.009200
2007,BWI,IAH,1725,3.187200,156.876500
2007,BWI,JFK,861,17.254400,39.574900
2007,BWI,LAS,1746,6.821300,242.905500
2007,BWI,LAX,1229,5.752600,271.019500
2007,BWI,MCO,4968,5.497000,107.752000
2007,BWI,MSP,1049,12.704500,120.326000
2007,BWI,ORD,3778,15.023000,86.797200
2007,BWI,PHX,2441,3.453100,233.392500
2007,BWI,SEA,96,43.302100,271.437500
2007,BWI,SFO,452,15.750000,280.475700
2007,BWI,SLC,721,-1.338400,219.430000
2007,CLT,ATL,5938,9.418000,42.795700
2007,CLT,BOS,3321,14.218900,112.707600
2007,CLT,BWI,3739,9.302500,62.242800
2007,CLT,DEN,2024,13.023200,163.546900
2007,CLT,DFW,3413,13.252000,121.826500
2007,CLT,DTW,3060,13.242200,80.087900
2007,CLT,EWR,4940,19.055300,84.429100
2007,CLT,IAH,3418,9.266800,120.747500
2007,CLT,JFK,2347,21.919000,84.864900
2007,CLT,LAS,1751,11.570000,220.326100
2007,CLT,LAX,1427,4.587200,249.288700
2007,CLT,LGA,5563,13.728900,88.347700
2007,CLT,MCO,3460,13.214500,76.298800
2007,CLT,MSP,1832,12.146300,120.607000
2007,CLT,ORD,6095,18.003600,85.486500
2007,CLT,PHX,1899,9.305400,207.006800
2007,CLT,SEA,433,11.360300,261.669700
2007,CLT,SFO,1259,8.934900,266.237500
2007,CLT,SLC,301,1.810600,201.890400
2007,DEN,ATL,5920,6.117100,169.531600
2007,DEN,BOS,2401,9.857100,244.552700
2007,DEN,BWI,2682,9.429900,211.617800
2007,DEN,CLT,2024,12.304800,192.390800
2007,DEN,DFW,8711,12.664400,96.536900
2007,DEN,DTW,3122,11.407400,162.497800
2007,DEN,EWR,2281,14.211700,226.236300
2007,DEN,IAH,5558,8.980200,122.391100
2007,DEN,JFK,960,7.380200,226.055200
2007,DEN,LAS,8307,9.030000,85.476700
2007,DEN,LAX,7914,10.965400,113.586700
2007,DEN,LGA,3382,17.045200,227.003800
2007,DEN,MCO,3330,4.922800,214.034500
