year,dest,origin,count,avg_arr_delay,arr_wheels_up
2006,ATL,BOS,5588,9.105400,140.081600
2006,ATL,BWI,5979,8.467600,90.481400
2006,ATL,CLT,4944,8.723100,46.123800
2006,ATL,DEN,5828,7.821400,145.665800
2006,ATL,DFW,9604,9.768700,98.798400
2006,ATL,DTW,6578,13.729700,95.116900
2006,ATL,EWR,8085,14.916600,112.156200
2006,ATL,IAH,5413,16.136200,95.654200
2006,ATL,JFK,1909,25.718700,114.458900
2006,ATL,LAS,4394,4.432900,202.573700
2006,ATL,LAX,5122,5.918400,225.476800
2006,ATL,LGA,10110,14.868200,114.686400
2006,ATL,MCO,8688,9.048200,66.934500
2006,ATL,MSP,6093,7.491900,122.615000
2006,ATL,ORD,7397,15.513500,88.798300
2006,ATL,PHX,3659,2.273000,187.428500
2006,ATL,SEA,2190,6.658400,251.806400
2006,ATL,SFO,3265,3.463700,244.596600
2006,ATL,SLC,2613,1.258700,187.173700
2006,BOS,ATL,5599,13.087500,123.522600
2006,BOS,BWI,6476,11.672900,61.295200
2006,BOS,CLT,3016,12.048100,100.722800
2006,BOS,DEN,2480,12.882700,201.329800
2006,BOS,DFW,3368,7.807600,190.479800
2006,BOS,DTW,2611,13.691300,85.443500
2006,BOS,EWR,5226,20.845800,41.044800
2006,BOS,IAH,1831,14.486100,198.653200
2006,BOS,JFK,8516,21.763000,40.302700
2006,BOS,LAS,1750,1.964600,271.392000
2006,BOS,LAX,2707,4.244200,295.548600
2006,BOS,LGA,11829,6.106900,37.922700
2006,BOS,MCO,3008,10.588400,148.193800
2006,BOS,MSP,1678,7.970800,138.189500
2006,BOS,ORD,6772,17.180400,109.774800
2006,BOS,PHX,1308,0.360900,264.019900
2006,BOS,SEA,909,2.569900,286.338800
2006,BOS,SFO,2207,7.464900,304.533800
2006,BOS,SLC,707,-5.442700,241.124500
2006,BWI,ATL,6117,12.513800,80.906200
2006,BWI,BOS,6471,8.424000,65.858000
2006,BWI,CLT,3743,6.510800,57.356100
2006,BWI,DEN,2639,6.339100,174.461900
2006,BWI,DFW,2949,6.399100,148.207500
2006,BWI,DTW,3023,11.121700,67.135300
2006,BWI,EWR,1394,23.024400,36.909600
2006,BWI,IAH,1718,7.925500,155.822500
2006,BWI,JFK,581,20.525000,40.051600
2006,BWI,LAS,1976,5.583000,241.747000
2006,BWI,LAX,1492,1.947700,269.107200
2006,BWI,MCO,4694,1.366900,107.817000
2006,BWI,MSP,1076,9.326200,120.485100
2006,BWI,ORD,3863,14.553500,85.474800
2006,BWI,PHX,2555,-1.252100,230.697500
2006,BWI,SFO,527,4.704000,277.468700
2006,BWI,SLC,722,-3.434900,217.838000
2006,CLT,ATL,4941,13.326700,42.266700
2006,CLT,BOS,2972,3.536300,111.628900
2006,CLT,BWI,3694,7.232800,61.918000
2006,CLT,DEN,1884,8.794600,160.602400
2006,CLT,DFW,3554,8.324700,120.462300
2006,CLT,DTW,2734,10.280200,80.094400
2006,CLT,EWR,4466,21.240000,85.135500
2006,CLT,IAH,3630,12.378500,119.027500
2006,CLT,JFK,1229,22.147300,85.947900
2006,CLT,LAS,1258,7.774200,218.579500
2006,CLT,LAX,1395,-1.451600,247.365600
2006,CLT,LGA,5389,11.614600,87.587300
2006,CLT,MCO,3060,5.785600,76.204200
2006,CLT,MSP,1537,7.524400,120.294100
2006,CLT,ORD,6053,18.391200,85.852500
2006,CLT,PHX,1513,4.811600,206.236600
2006,CLT,SEA,481,4.031200,263.550900
2006,CLT,SFO,1319,1.900700,264.776300
2006,DEN,ATL,6039,10.639200,169.820300
2006,DEN,BOS,2354,10.694600,243.434200
2006,DEN,BWI,2858,7.613000,212.175600
2006,DEN,CLT,1891,8.544200,192.583800
2006,DEN,DFW,8777,8.984300,96.192000
2006,DEN,DTW,3049,10.217400,162.092800
2006,DEN,EWR,2312,15.272100,225.436400
2006,DEN,IAH,5474,8.652700,121.897500
2006,DEN,JFK,802,15.582300,226.251900
2006,DEN,LAS,9120,6.967700,84.934900
2006,DEN,LAX,7581,4.769400,111.442700
2006,DEN,LGA,3032,11.682400,226.133200
2006,DEN,MCO,2721,6.964400,213.587700
2006,DEN,MSP,5326,6.805300,100.127300
2006,DEN,ORD,6018,17.058500,126.920900
2006,DEN,PHX,10395,4.343200,81.338000
2006,DEN,SEA,5682,6.213100,129.571100
2006,DEN,SFO,5114,4.575900,119.397500
2006,DEN,SLC,8013,6.870300,58.968900
2006,DFW,ATL,9584,10.856700,111.241900
2006,DFW,BOS,3354,2.502700,221.764200
2006,DFW,BWI,2946,3.047200,169.881500
2006,DFW,CLT,3552,5.317600,139.019400
2006,DFW,DEN,8977,7.236600,86.817500
2006,DFW,DTW,3621,4.247200,143.809700
2006,DFW,EWR,4062,12.652600,195.136100
2006,DFW,IAH,6425,9.458200,43.640300
2006,DFW,JFK,925,18.943800,191.283200
2006,DFW,LAS,5955,8.702100,129.428900
2006,DFW,LAX,6724,6.186300,151.535400
2006,DFW,LGA,4975,10.144100,195.314600
2006,DFW,MCO,4219,4.811100,141.765300
2006,DFW,MSP,4094,3.106000,120.797500
2006,DFW,ORD,8280,17.317400,116.463000
2006,DFW,PHX,5750,6.219300,110.551500
2006,DFW,SEA,4291,8.117900,197.996000
2006,DFW,SFO,4059,7.606100,175.519600
2006,DFW,SLC,3169,6.820400,125.114900
2006,DTW,ATL,6606,12.236300,90.768100
2006,DTW,BOS,2591,9.599400,101.531800
2006,DTW,BWI,2943,6.692200,69.936500
2006,DTW,CLT,2737,6.967100,81.291900
2006,DTW,DEN,3059,7.778400,140.434500
2006,DTW,DFW,3634,6.421000,129.877300
2006,DTW,EWR,4137,15.187300,85.669600
2006,DTW,IAH,3268,6.600700,139.164000
2006,DTW,JFK,1620,15.622800,92.179000
2006,DTW,LAS,2193,11.986800,204.853200
2006,DTW,LAX,2142,1.020500,232.577000
2006,DTW,LGA,4689,17.858600,85.154800
2006,DTW,MCO,2969,4.663900,134.493800
2006,DTW,MSP,5811,7.721600,74.984700
2006,DTW,ORD,7258,14.460500,50.276200
2006,DTW,PHX,3756,2.424900,199.238800
2006,DTW,SEA,1162,6.636000,221.590400
2006,DTW,SFO,1161,-0.427200,239.434100
2006,DTW,SLC,150,-6.360000,180.713300
2006,EWR,ATL,8086,20.820200,106.118100
2006,EWR,BOS,5281,24.154500,54.141500
2006,EWR,BWI,1388,17.948800,39.324200
2006,EWR,CLT,4422,26.927600,83.159200
2006,EWR,DEN,2289,16.251200,194.310200
