year,dest,origin,count,avg_arr_delay,arr_wheels_up
2009,ATL,BOS,5937,7.236800,141.729200
2009,ATL,BWI,6053,11.070400,90.862900
2009,ATL,CLT,6492,13.416200,45.682700
2009,ATL,DEN,5230,5.702900,144.888500
2009,ATL,DFW,9536,10.156700,99.791600
2009,ATL,DTW,5047,10.172400,94.695700
2009,ATL,EWR,7091,17.501200,113.747100
2009,ATL,IAH,5114,11.199100,96.276900
2009,ATL,JFK,2357,4.483200,113.336000
2009,ATL,LAS,4262,0.445100,203.242800
2009,ATL,LAX,4934,1.073800,225.368500
2009,ATL,LGA,8410,9.538400,115.362900
2009,ATL,MCO,9515,8.705100,67.828800
2009,ATL,MSP,5767,7.093600,122.084100
2009,ATL,ORD,6756,9.818800,88.928800
2009,ATL,PHX,3926,1.533400,186.272000
2009,ATL,SEA,2522,0.133200,251.671700
2009,ATL,SFO,2872,2.008700,245.100300
2009,ATL,SLC,2790,2.658800,187.175600
2009,BOS,ATL,5997,9.468600,121.685700
2009,BOS,BWI,4818,13.249900,60.752600
2009,BOS,CLT,3647,8.343300,99.953700
2009,BOS,DEN,2136,2.309000,200.008900
2009,BOS,DFW,2833,12.226600,186.447200
2009,BOS,DTW,2161,11.418300,85.333600
2009,BOS,EWR,2813,11.670500,40.944900
2009,BOS,IAH,1783,7.429600,195.051600
2009,BOS,JFK,7753,8.310100,39.244700
2009,BOS,LAS,1042,-2.843600,269.725500
2009,BOS,LAX,2239,-0.194700,294.389900
2009,BOS,LGA,10158,-4.097900,37.203200
2009,BOS,MCO,3036,4.358700,146.696600
2009,BOS,MSP,1474,7.385300,137.479000
2009,BOS,ORD,6705,6.433900,107.802500
2009,BOS,PHX,1052,-3.084600,261.289000
2009,BOS,SEA,926,2.533500,287.248400
2009,BOS,SFO,2591,0.936300,302.218800
2009,BOS,SLC,692,-0.345400,241.066500
2009,BWI,ATL,6066,8.436000,80.256000
2009,BWI,BOS,4843,6.676400,66.769400
2009,BWI,CLT,3672,5.197400,57.647100
2009,BWI,DEN,2695,1.558800,174.211500
2009,BWI,DFW,2308,7.617900,149.876500
2009,BWI,DTW,3260,4.385600,66.417800
2009,BWI,EWR,1347,7.070500,36.537500
2009,BWI,IAH,1653,3.574100,153.762900
2009,BWI,JFK,1188,5.065700,40.726400
2009,BWI,LAS,1205,-5.993400,242.462200
2009,BWI,LAX,959,-3.018800,269.472400
2009,BWI,LGA,555,2.639600,40.358600
2009,BWI,MCO,4774,2.559100,108.192500
2009,BWI,MSP,1062,2.546100,119.439700
2009,BWI,ORD,3173,3.434300,84.930700
2009,BWI,PHX,1923,-5.859100,231.695300
2009,BWI,SEA,235,4.966000,271.408500
2009,BWI,SFO,361,5.639900,274.952900
2009,BWI,SLC,972,-0.817900,217.560700
