year,dest,origin,count,avg_arr_delay,arr_wheels_up
2012,ATL,BOS,5500,0.751500,137.278200
2012,ATL,BWI,6996,2.850300,86.753100
2012,ATL,CLT,7564,0.786100,42.688500
2012,ATL,DEN,5757,5.556900,144.559000
2012,ATL,DFW,7470,7.304100,97.761200
2012,ATL,DTW,4925,-1.553700,89.349800
2012,ATL,EWR,4858,6.757900,110.114700
2012,ATL,IAH,5117,6.827800,94.335200
2012,ATL,JFK,2078,-5.412900,110.254100
2012,ATL,LAS,4348,1.043000,203.995600
2012,ATL,LAX,5001,3.511100,225.740700
2012,ATL,LGA,10600,4.425200,111.183200
2012,ATL,MCO,9005,2.078000,63.769400
2012,ATL,MSP,5389,-1.478800,118.442600
2012,ATL,ORD,7998,6.278900,85.860800
2012,ATL,PHX,4191,0.520900,187.336400
2012,ATL,SEA,2711,-0.086700,250.152000
2012,ATL,SFO,3264,3.296300,244.484100
2012,ATL,SLC,2644,-0.466300,187.390700
2012,BOS,ATL,5533,-1.597900,121.822500
2012,BOS,BWI,5758,2.706100,59.364900
2012,BOS,CLT,3899,1.074400,99.878900
2012,BOS,DEN,2552,4.951000,203.546200
2012,BOS,DFW,3398,9.559200,188.781900
2012,BOS,DTW,1885,2.614300,84.004800
2012,BOS,EWR,4713,6.252100,40.275400
2012,BOS,IAH,1729,2.407200,197.759400
2012,BOS,JFK,4428,-0.949000,38.018500
2012,BOS,LAS,719,-0.115400,270.041700
2012,BOS,LAX,3497,4.709800,299.069500
2012,BOS,LGA,6105,-7.575900,37.508400
2012,BOS,MCO,3469,4.838600,146.332900
2012,BOS,MSP,1751,-4.684800,137.024600
2012,BOS,ORD,6413,8.304100,108.275400
2012,BOS,PHX,1747,0.669100,264.849500
2012,BOS,SEA,1031,-1.632400,285.757500
2012,BOS,SFO,4102,5.866200,304.834700
2012,BOS,SLC,380,-4.181600,241.121100
2012,BWI,ATL,7021,3.234200,82.072200
2012,BWI,BOS,5779,3.936000,66.710500
2012,BWI,CLT,4062,3.396400,58.670100
2012,BWI,DEN,2310,6.487400,176.048900
2012,BWI,DFW,1874,16.144100,152.065100
2012,BWI,DTW,3071,3.794900,66.529100
2012,BWI,EWR,1823,14.163500,36.814600
2012,BWI,IAH,1103,6.510400,156.592000
2012,BWI,JFK,342,4.046800,40.880100
2012,BWI,LAS,1150,8.958300,246.978300
2012,BWI,LAX,1037,8.965300,274.929600
2012,BWI,LGA,1059,4.722400,40.229500
2012,BWI,MCO,4083,2.997800,109.110000
2012,BWI,MSP,870,1.004600,119.708000
2012,BWI,ORD,2685,8.707300,87.224200
2012,BWI,PHX,1783,3.282100,235.502000
2012,BWI,SEA,253,-0.913000,274.173900
2012,BWI,SFO,509,15.135600,277.581500
2012,BWI,SLC,998,-4.473900,218.503000
2012,CLT,ATL,7561,-1.174400,42.222700
2012,CLT,BOS,3893,-3.687400,111.588700
2012,CLT,BWI,4060,0.500000,60.545100
2012,CLT,DEN,1917,-0.380800,159.817900
2012,CLT,DFW,4640,4.203700,120.444400
2012,CLT,DTW,3365,-1.307600,77.230000
2012,CLT,EWR,4732,3.521100,83.148100
2012,CLT,IAH,4678,5.100000,120.905900
2012,CLT,JFK,2174,2.501800,84.438400
2012,CLT,LAS,1695,-2.293200,223.096200
2012,CLT,LAX,1650,-1.330900,248.976400
2012,CLT,LGA,5079,-1.672200,85.043100
2012,CLT,MCO,3301,0.677100,75.424400
2012,CLT,MSP,1817,-3.428700,118.882200
2012,CLT,ORD,6427,5.489700,83.867300
2012,CLT,PHX,3007,1.281300,208.067500
2012,CLT,SEA,752,-1.337800,263.151600
2012,CLT,SFO,1664,2.918900,263.769800
2012,CLT,SLC,523,3.005700,201.667300
2012,DEN,ATL,5829,-2.107100,167.540200
2012,DEN,BOS,2503,-2.996400,243.292400
2012,DEN,BWI,2245,0.643200,209.208000
2012,DEN,CLT,1921,-4.992200,185.858900
2012,DEN,DFW,6193,6.685100,96.076500
2012,DEN,DTW,2770,-1.603600,159.448000
2012,DEN,EWR,3190,2.655500,222.161400
2012,DEN,IAH,3806,3.817900,120.738800
2012,DEN,JFK,712,-0.144700,225.488800
2012,DEN,LAS,7295,3.486500,84.677600
2012,DEN,LAX,7961,7.867100,111.320600
2012,DEN,LGA,3199,1.281300,223.912800
2012,DEN,MCO,2748,-0.728900,212.757300
2012,DEN,MSP,5589,-1.139400,98.433400
2012,DEN,ORD,4886,7.309900,125.404400
2012,DEN,PHX,7633,4.103400,82.130700
2012,DEN,SEA,5801,3.020200,128.821100
2012,DEN,SFO,6157,9.819700,119.428600
2012,DEN,SLC,7947,1.643800,59.276500
2012,DFW,ATL,7462,-2.773300,111.532200
2012,DFW,BOS,3368,0.552300,219.348000
2012,DFW,BWI,1860,3.962400,172.062900
2012,DFW,CLT,4641,-1.626800,136.523600
2012,DFW,DEN,6054,6.436600,87.329000
2012,DFW,DTW,2709,-1.916900,141.428600
2012,DFW,EWR,3273,-2.489800,194.290900
2012,DFW,IAH,4830,8.609300,44.056100
2012,DFW,JFK,357,-1.949600,195.128900
2012,DFW,LAS,3788,7.780100,131.542000
2012,DFW,LAX,8385,5.473500,152.310100
2012,DFW,LGA,4889,-6.856000,196.983800
2012,DFW,MCO,3519,3.084700,143.444400
2012,DFW,MSP,2521,-0.081700,119.856000
2012,DFW,ORD,7663,2.439400,115.225100
2012,DFW,PHX,4803,4.583800,111.781800
2012,DFW,SEA,3515,5.500100,198.304700
2012,DFW,SFO,6042,10.742000,175.451300
2012,DFW,SLC,2919,1.719100,126.203800
2012,DTW,ATL,4923,-1.139500,88.802000
2012,DTW,BOS,1899,0.536100,101.222700
2012,DTW,BWI,3058,5.097400,69.263200
2012,DTW,CLT,3319,-1.828000,79.361900
2012,DTW,DEN,2769,5.617600,139.932800
2012,DTW,DFW,2809,6.761800,130.561800
2012,DTW,EWR,2358,8.295200,84.039400
2012,DTW,IAH,2640,2.907600,139.408700
2012,DTW,JFK,643,2.482100,87.374800
2012,DTW,LAS,2028,-2.225800,206.501000
2012,DTW,LAX,1982,1.602400,233.040900
2012,DTW,LGA,4800,-0.133500,83.974200
2012,DTW,MCO,2743,-1.955200,131.335800
2012,DTW,MSP,3156,-4.712900,73.775700
2012,DTW,ORD,5938,5.947600,49.742300
2012,DTW,PHX,2998,0.539700,200.197800
2012,DTW,SEA,1272,-4.535400,220.356100
2012,DTW,SFO,1427,-1.366500,238.985300
2012,DTW,SLC,1495,-6.891000,176.935800
2012,EWR,ATL,4896,7.133400,104.094800
2012,EWR,BOS,4767,9.893200,53.397700
2012,EWR,BWI,1816,16.128300,38.557300
2012,EWR,CLT,4737,11.058500,80.439500
2012,EWR,DEN,3177,8.172800,191.373900
2012,EWR,DFW,3287,9.632800,175.197700
2012,EWR,DTW,2262,14.594600,72.980500
2012,EWR,IAH,3892,5.328600,178.172900
2012,EWR,LAS,2183,4.279000,261.265700
2012,EWR,LAX,2940,11.738800,286.798600
2012,EWR,MCO,4830,8.622400,129.289200
2012,EWR,MSP,1516,15.060000,131.938000
2012,EWR,ORD,6627,12.775900,95.625200
2012,EWR,PHX,3194,9.273300,253.311800
2012,EWR,SEA,1973,2.859600,279.303600
2012,EWR,SFO,3227,9.428600,292.722000
2012,EWR,SLC,480,3.987500,232.802100
2012,IAH,ATL,5115,3.076800,103.360300
2012,IAH,BOS,1678,3.419500,224.008300
2012,IAH,BWI,1112,5.666400,173.349800
2012,IAH,CLT,4667,0.294000,134.880700
2012,IAH,DEN,3879,5.003400,113.468400
2012,IAH,DFW,4804,9.302700,42.460000
2012,IAH,DTW,2594,2.437500,152.981500
2012,IAH,EWR,3954,1.803700,193.952700
2012,IAH,LAS,2617,1.298800,150.603000
2012,IAH,LAX,5076,10.026000,166.641300
2012,IAH,LGA,2828,0.842300,199.479800
2012,IAH,MCO,2119,2.719700,124.527100
2012,IAH,MSP,2082,2.005300,145.294400
2012,IAH,ORD,5470,8.281700,130.138400
2012,IAH,PHX,3320,-0.042500,129.065700
2012,IAH,SEA,2481,5.453400,223.986300
2012,IAH,SFO,3369,12.640000,196.327400
2012,IAH,SLC,2028,2.806700,152.851600
2012,JFK,ATL,2072,1.690600,105.367800
2012,JFK,BOS,4444,0.703600,44.918500
2012,JFK,BWI,349,-0.060200,41.641800
2012,JFK,CLT,2175,1.481400,79.908500
2012,JFK,DEN,708,-1.043800,194.234500
2012,JFK,DFW,359,1.913600,181.306400
2012,JFK,DTW,638,2.468700,78.569000
2012,JFK,LAS,4020,3.114200,264.779100
2012,JFK,LAX,11623,1.805000,291.041700
2012,JFK,MCO,5344,6.540800,126.141300
2012,JFK,MSP,502,-2.868500,133.069700
2012,JFK,ORD,1198,7.398200,100.764600
2012,JFK,PHX,2002,0.603400,254.870100
2012,JFK,SEA,1935,-3.694600,280.547300
2012,JFK,SFO,8559,2.023100,297.954800
2012,JFK,SLC,1945,-1.448800,233.493600
2012,LAS,ATL,4352,-5.645700,232.955700
2012,LAS,BOS,719,1.812200,318.350500
2012,LAS,BWI,1153,-3.409400,285.823900
2012,LAS,CLT,1689,-3.222600,255.775000
2012,LAS,DEN,6999,3.060900,90.432800
2012,LAS,DFW,3797,10.479300,147.561000
2012,LAS,DTW,2029,-3.836400,232.707700
2012,LAS,EWR,2183,2.304200,297.034400
2012,LAS,IAH,2584,1.860300,168.368000
2012,LAS,JFK,4035,-4.993800,300.939300
2012,LAS,LAX,10955,7.941900,44.694200
2012,LAS,MCO,833,-3.695100,273.529400
2012,LAS,MSP,2102,-4.643200,173.822500
2012,LAS,ORD,3345,4.773100,203.680700
2012,LAS,PHX,7978,1.050000,44.509700
2012,LAS,SEA,4230,-0.226200,119.318700
2012,LAS,SFO,8436,7.988600,65.560100
2012,LAS,SLC,4262,-1.926100,57.979600
2012,LAX,ATL,4995,-2.697500,254.791000
2012,LAX,BOS,3495,-2.170800,346.755100
2012,LAX,BWI,1030,3.477700,306.018400
2012,LAX,CLT,1658,-5.076000,278.723200
2012,LAX,DEN,7996,5.218000,119.294500
2012,LAX,DFW,8428,6.379300,168.174800
2012,LAX,DTW,1995,-0.710800,259.832100
