weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1417,3.7657,-2,0.4326,0.1793,0.0924,0.0346,1417
0,01:00:00,831,4.3779,-3,0.4116,0.1576,0.0903,0.0457,831
0,02:00:00,132,-6.8182,-11,0.2652,0.0985,0.0606,0.0152,132
0,03:00:00,10,18.8000,-5,0.4000,0.2000,0.2000,0.2000,10
0,04:00:00,4,-2.5000,-15,0.2500,0.2500,0.2500,0.0000,4
0,05:00:00,7905,-0.2998,-5,0.2992,0.0883,0.0462,0.0254,7905
0,06:00:00,63531,0.5666,-4,0.3332,0.1000,0.0488,0.0213,63531
0,07:00:00,67619,1.9629,-3,0.3684,0.1304,0.0667,0.0271,67619
0,08:00:00,72177,3.3947,-2,0.4036,0.1563,0.0791,0.0333,72177
0,09:00:00,69378,4.4475,-2,0.4112,0.1677,0.0915,0.0398,69378
0,10:00:00,61774,5.2674,-2,0.4253,0.1795,0.0994,0.0424,61774
0,11:00:00,67056,5.8998,-1,0.4331,0.1861,0.1054,0.0462,67056
0,12:00:00,63793,6.5072,-1,0.4402,0.1969,0.1134,0.0507,63793
0,13:00:00,67447,8.1416,-1,0.4575,0.2153,0.1289,0.0599,67447
0,14:00:00,60836,9.7159,0,0.4669,0.2309,0.1440,0.0700,60836
0,15:00:00,66190,11.1065,0,0.4855,0.2465,0.1561,0.0766,66190
0,16:00:00,60450,11.2633,0,0.4848,0.2484,0.1577,0.0800,60450
0,17:00:00,71892,13.7598,1,0.5049,0.2823,0.1869,0.0993,71892
0,18:00:00,62966,13.0058,0,0.4977,0.2712,0.1808,0.0938,62966
0,19:00:00,56446,12.9854,0,0.4991,0.2755,0.1812,0.0949,56446
0,20:00:00,46732,11.8798,0,0.4796,0.2602,0.1724,0.0902,46732
0,21:00:00,30523,9.9093,0,0.4688,0.2442,0.1587,0.0773,30523
0,22:00:00,16295,7.4357,-1,0.4408,0.2043,0.1238,0.0620,16295
0,23:00:00,6310,4.3485,-2,0.4181,0.1826,0.1035,0.0458,6310
1,00:00:00,1362,-0.6468,-5,0.3627,0.1226,0.0499,0.0169,1362
1,01:00:00,791,-0.6953,-5,0.3515,0.1037,0.0518,0.0228,791
1,02:00:00,134,-6.1716,-10,0.2985,0.1194,0.0373,0.0075,134
1,03:00:00,9,-2.4444,-2,0.4444,0.2222,0.0000,0.0000,9
1,04:00:00,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0
1,05:00:00,7908,-1.8115,-6,0.2800,0.0790,0.0352,0.0177,7908
1,06:00:00,63901,-0.9962,-4,0.3132,0.0879,0.0395,0.0156,63901
