weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1460,6.4432,-1,0.4473,0.2021,0.1116,0.0527,1460
0,01:00:00,697,2.4663,-4,0.3874,0.1535,0.0961,0.0416,697
0,02:00:00,173,2.6879,-2,0.4220,0.1965,0.1098,0.0231,173
0,03:00:00,12,23.6667,1,0.5833,0.2500,0.1667,0.0833,12
0,04:00:00,13,13.1538,12,0.8462,0.3846,0.0769,0.0769,13
0,05:00:00,8758,-1.4180,-5,0.2815,0.0758,0.0365,0.0175,8758
0,06:00:00,66674,-0.0435,-4,0.3246,0.0913,0.0423,0.0187,66674
0,07:00:00,70586,1.5717,-3,0.3577,0.1182,0.0594,0.0255,70586
0,08:00:00,69670,2.7428,-3,0.3838,0.1406,0.0734,0.0303,69670
0,09:00:00,68318,3.7078,-2,0.4063,0.1552,0.0805,0.0332,68318
0,10:00:00,63441,4.7795,-2,0.4212,0.1699,0.0907,0.0382,63441
0,11:00:00,66145,5.2902,-2,0.4276,0.1770,0.0987,0.0410,66145
0,12:00:00,64723,6.6196,-1,0.4384,0.1934,0.1096,0.0481,64723
0,13:00:00,65295,8.0670,-1,0.4513,0.2083,0.1243,0.0597,65295
0,14:00:00,61040,9.6940,0,0.4703,0.2320,0.1391,0.0660,61040
0,15:00:00,65483,11.0078,0,0.4872,0.2472,0.1535,0.0747,65483
0,16:00:00,62914,11.4757,0,0.4862,0.2520,0.1578,0.0804,62914
0,17:00:00,69904,13.7574,1,0.5031,0.2776,0.1840,0.0964,69904
0,18:00:00,64182,14.1261,1,0.5081,0.2845,0.1884,0.0988,64182
0,19:00:00,57829,14.0048,0,0.4961,0.2815,0.1900,0.1000,57829
0,20:00:00,44879,13.0088,0,0.4857,0.2731,0.1821,0.0939,44879
0,21:00:00,32236,12.8872,0,0.4953,0.2720,0.1778,0.0913,32236
0,22:00:00,15075,10.4374,0,0.4806,0.2466,0.1537,0.0754,15075
0,23:00:00,6332,5.9059,-1,0.4510,0.2074,0.1124,0.0466,6332
1,00:00:00,1407,2.6425,-3,0.3966,0.1713,0.0952,0.0448,1407
1,01:00:00,686,0.4592,-4,0.3615,0.1487,0.0758,0.0292,686
1,02:00:00,175,3.8229,-2,0.4229,0.1771,0.1200,0.0229,175
1,03:00:00,13,28.4615,10,0.7692,0.3846,0.3077,0.1538,13
1,04:00:00,12,14.7500,11,0.6667,0.3333,0.1667,0.0833,12
1,05:00:00,8711,-1.3726,-6,0.2722,0.0766,0.0395,0.0193,8711
1,06:00:00,67142,-0.6780,-4,0.3121,0.0857,0.0384,0.0165,67142
1,07:00:00,70465,0.4189,-4,0.3428,0.1101,0.0530,0.0208,70465
1,08:00:00,68483,1.2348,-3,0.3649,0.1262,0.0618,0.0238,68483
1,09:00:00,67107,1.6280,-3,0.3783,0.1315,0.0642,0.0238,67107
1,10:00:00,61049,2.1895,-3,0.3817,0.1416,0.0703,0.0278,61049
1,11:00:00,64166,2.3596,-3,0.3807,0.1446,0.0729,0.0278,64166
1,12:00:00,62775,3.2014,-3,0.3914,0.1549,0.0804,0.0323,62775
1,13:00:00,65067,4.6881,-2,0.4082,0.1738,0.0957,0.0412,65067
1,14:00:00,60422,6.3344,-1,0.4358,0.1940,0.1112,0.0485,60422
1,15:00:00,65264,8.1362,-1,0.4578,0.2178,0.1272,0.0576,65264
1,16:00:00,62697,9.1828,0,0.4643,0.2269,0.1381,0.0654,62697
1,17:00:00,69706,10.8317,0,0.4810,0.2523,0.1591,0.0772,69706
1,18:00:00,64044,10.9648,0,0.4775,0.2544,0.1622,0.0794,64044
1,19:00:00,57345,10.6611,0,0.4668,0.2513,0.1619,0.0802,57345
1,20:00:00,44511,10.3900,0,0.4591,0.2485,0.1618,0.0778,44511
1,21:00:00,31905,9.9963,-1,0.4571,0.2380,0.1549,0.0761,31905
1,22:00:00,14851,8.1433,-1,0.4491,0.2258,0.1405,0.0652,14851
1,23:00:00,6183,3.9013,-2,0.4139,0.1787,0.0956,0.0404,6183
2,00:00:00,1386,0.2294,-4,0.3889,0.1429,0.0628,0.0267,1386
2,01:00:00,664,0.1190,-5,0.3524,0.1340,0.0587,0.0211,664
2,02:00:00,143,1.1049,-4,0.3986,0.1678,0.0979,0.0280,143
2,03:00:00,12,-2.5833,-5,0.4167,0.0833,0.0000,0.0000,12
2,04:00:00,12,21.5000,12,0.8333,0.4167,0.2500,0.1667,12
2,05:00:00,8802,-1.8277,-6,0.2666,0.0728,0.0347,0.0178,8802
2,06:00:00,67143,-0.6136,-4,0.3160,0.0883,0.0392,0.0160,67143
2,07:00:00,70673,0.6937,-4,0.3460,0.1137,0.0531,0.0208,70673
2,08:00:00,69015,2.0635,-3,0.3743,0.1365,0.0677,0.0268,69015
2,09:00:00,67660,2.7889,-2,0.3949,0.1497,0.0739,0.0263,67660
2,10:00:00,62044,3.5540,-2,0.4001,0.1585,0.0808,0.0325,62044
2,11:00:00,64931,4.1114,-2,0.4027,0.1615,0.0857,0.0357,64931
2,12:00:00,63391,5.0957,-2,0.4164,0.1768,0.0954,0.0408,63391
2,13:00:00,64890,7.0418,-2,0.4325,0.1951,0.1124,0.0517,64890
2,14:00:00,60449,8.7303,-1,0.4566,0.2139,0.1276,0.0602,60449
2,15:00:00,65114,10.6396,0,0.4863,0.2390,0.1444,0.0678,65114
2,16:00:00,62691,12.0009,0,0.4967,0.2505,0.1561,0.0784,62691
2,17:00:00,69673,14.6452,1,0.5153,0.2782,0.1801,0.0960,69673
2,18:00:00,64027,15.1237,1,0.5161,0.2851,0.1896,0.1025,64027
2,19:00:00,57688,14.8742,1,0.5060,0.2857,0.1909,0.1023,57688
2,20:00:00,44826,14.4892,0,0.4956,0.2806,0.1903,0.1032,44826
2,21:00:00,32043,13.6169,1,0.5015,0.2751,0.1814,0.0925,32043
2,22:00:00,15018,10.9054,0,0.4804,0.2490,0.1589,0.0814,15018
2,23:00:00,6289,6.5575,-2,0.4502,0.2139,0.1173,0.0561,6289
3,00:00:00,1402,3.0321,-3,0.4087,0.1633,0.0849,0.0328,1402
3,01:00:00,665,1.6722,-4,0.3910,0.1504,0.0752,0.0241,665
3,02:00:00,171,-0.9181,-3,0.3801,0.1404,0.0526,0.0292,171
3,03:00:00,13,13.6154,4,0.6154,0.2308,0.1538,0.0769,13
3,04:00:00,12,15.0000,2,0.5833,0.4167,0.3333,0.0833,12
3,05:00:00,8851,-0.3556,-5,0.2952,0.0776,0.0401,0.0202,8851
3,06:00:00,67553,0.1894,-4,0.3274,0.0907,0.0410,0.0187,67553
3,07:00:00,71217,1.6997,-3,0.3656,0.1224,0.0582,0.0241,71217
3,08:00:00,69990,2.9341,-2,0.3965,0.1472,0.0730,0.0292,69990
3,09:00:00,68290,4.1170,-2,0.4208,0.1615,0.0811,0.0319,68290
3,10:00:00,63341,5.0422,-1,0.4337,0.1740,0.0911,0.0381,63341
3,11:00:00,66208,5.4130,-1,0.4369,0.1809,0.0955,0.0387,66208
3,12:00:00,64677,6.6610,-1,0.4543,0.1952,0.1085,0.0460,64677
3,13:00:00,65123,8.8019,0,0.4786,0.2216,0.1278,0.0574,65123
3,14:00:00,60820,10.8900,1,0.5092,0.2470,0.1448,0.0658,60820
3,15:00:00,65165,13.1691,2,0.5363,0.2719,0.1671,0.0796,65165
3,16:00:00,62494,15.1322,3,0.5522,0.2941,0.1837,0.0919,62494
3,17:00:00,69523,17.7125,4,0.5752,0.3263,0.2141,0.1134,69523
3,18:00:00,63861,18.4526,5,0.5767,0.3350,0.2227,0.1177,63861
3,19:00:00,57764,19.1216,5,0.5784,0.3460,0.2330,0.1239,57764
3,20:00:00,44686,18.0461,4,0.5764,0.3388,0.2268,0.1157,44686
3,21:00:00,32004,17.1720,4,0.5750,0.3321,0.2198,0.1088,32004
3,22:00:00,15118,14.0488,3,0.5517,0.2993,0.1905,0.0929,15118
3,23:00:00,6375,10.5122,2,0.5291,0.2613,0.1517,0.0660,6375
4,00:00:00,1471,4.7362,-1,0.4555,0.1890,0.1033,0.0408,1471
4,01:00:00,698,2.6003,-3,0.3997,0.1662,0.0817,0.0330,698
4,02:00:00,171,1.1287,-3,0.4094,0.1637,0.0819,0.0117,171
4,03:00:00,13,13.0000,5,0.6923,0.3077,0.1538,0.0769,13
4,04:00:00,12,40.0833,9,0.5833,0.5000,0.5000,0.2500,12
4,05:00:00,8781,-0.9941,-5,0.2926,0.0798,0.0392,0.0191,8781
4,06:00:00,67188,0.4868,-3,0.3403,0.0943,0.0444,0.0190,67188
4,07:00:00,70955,1.9591,-3,0.3718,0.1255,0.0615,0.0249,70955
4,08:00:00,70022,3.0002,-2,0.3959,0.1482,0.0740,0.0287,70022
4,09:00:00,68392,4.0400,-1,0.4276,0.1619,0.0817,0.0305,68392
4,10:00:00,63513,4.8495,-1,0.4438,0.1761,0.0898,0.0343,63513
4,11:00:00,66422,6.0171,0,0.4564,0.1889,0.0998,0.0411,66422
4,12:00:00,64898,7.4618,0,0.4750,0.2059,0.1116,0.0478,64898
4,13:00:00,65390,9.8956,0,0.4985,0.2355,0.1356,0.0624,65390
4,14:00:00,61334,12.0147,2,0.5275,0.2595,0.1531,0.0711,61334
4,15:00:00,65821,13.3254,2,0.5436,0.2798,0.1687,0.0792,65821
4,16:00:00,63151,14.8382,3,0.5565,0.2958,0.1830,0.0889,63151
4,17:00:00,70220,16.7325,4,0.5662,0.3212,0.2079,0.1052,70220
4,18:00:00,64556,17.1813,4,0.5699,0.3257,0.2126,0.1076,64556
4,19:00:00,58223,16.6092,4,0.5636,0.3260,0.2134,0.1054,58223
4,20:00:00,45574,16.9507,4,0.5617,0.3275,0.2162,0.1088,45574
4,21:00:00,32479,15.5193,3,0.5557,0.3102,0.1991,0.0978,32479
4,22:00:00,15386,11.7643,1,0.5190,0.2632,0.1661,0.0781,15386
4,23:00:00,6368,8.1903,0,0.4928,0.2307,0.1310,0.0612,6368
5,00:00:00,1625,4.3471,-1,0.4523,0.1785,0.0905,0.0351,1625
5,01:00:00,723,3.2476,-3,0.4205,0.1577,0.0844,0.0346,723
5,02:00:00,171,4.3392,-2,0.4327,0.2281,0.0994,0.0526,171
5,03:00:00,14,14.5714,9,0.7857,0.2857,0.1429,0.0714,14
5,04:00:00,15,32.1333,12,0.7333,0.3333,0.2667,0.2667,15
5,05:00:00,8145,-1.8436,-6,0.2707,0.0750,0.0366,0.0171,8145
5,06:00:00,56627,-0.7949,-5,0.3101,0.0893,0.0418,0.0192,56627
5,07:00:00,61629,-0.2313,-5,0.3169,0.1028,0.0506,0.0221,61629
5,08:00:00,66403,0.9259,-4,0.3437,0.1215,0.0612,0.0263,66403
5,09:00:00,63613,1.8138,-3,0.3635,0.1321,0.0687,0.0280,63613
5,10:00:00,60238,2.4720,-3,0.3752,0.1407,0.0740,0.0322,60238
5,11:00:00,61708,2.8820,-3,0.3820,0.1496,0.0778,0.0327,61708
5,12:00:00,61504,3.5497,-3,0.3858,0.1573,0.0841,0.0364,61504
5,13:00:00,60911,3.9800,-3,0.3886,0.1648,0.0923,0.0409,60911
5,14:00:00,55846,5.1994,-2,0.4063,0.1824,0.1021,0.0451,55846
5,15:00:00,57619,5.3711,-3,0.4048,0.1900,0.1097,0.0483,57619
5,16:00:00,56326,5.0522,-3,0.3994,0.1896,0.1106,0.0492,56326
5,17:00:00,59097,5.6158,-3,0.3955,0.1973,0.1218,0.0569,59097
5,18:00:00,53146,5.7156,-3,0.4038,0.2031,0.1227,0.0568,53146
5,19:00:00,41639,5.0736,-4,0.3842,0.1987,0.1201,0.0561,41639
5,20:00:00,33626,5.0418,-3,0.3949,0.1989,0.1209,0.0544,33626
5,21:00:00,22104,5.4190,-3,0.4017,0.2038,0.1223,0.0546,22104
5,22:00:00,11534,3.1476,-4,0.3827,0.1677,0.0933,0.0409,11534
5,23:00:00,5685,2.2644,-4,0.3843,0.1680,0.0853,0.0355,5685
6,00:00:00,1497,-0.6700,-5,0.3407,0.1202,0.0581,0.0227,1497
6,01:00:00,632,2.5475,-4,0.3766,0.1535,0.0823,0.0301,632
6,02:00:00,169,5.3432,-2,0.4438,0.2426,0.1065,0.0414,169
6,03:00:00,13,10.0769,8,0.8462,0.2308,0.1538,0.0000,13
6,04:00:00,14,5.7857,4,0.7143,0.0714,0.0000,0.0000,14
6,05:00:00,6562,-2.3778,-7,0.2522,0.0696,0.0357,0.0178,6562
6,06:00:00,47671,-2.3233,-6,0.2733,0.0769,0.0352,0.0166,47671
6,07:00:00,57185,-2.0163,-6,0.2793,0.0875,0.0429,0.0183,57185
6,08:00:00,64524,-0.5829,-5,0.3158,0.1068,0.0539,0.0226,64524
6,09:00:00,64464,0.3105,-4,0.3327,0.1133,0.0554,0.0226,64464
6,10:00:00,61809,1.3857,-3,0.3629,0.1286,0.0646,0.0258,61809
6,11:00:00,63875,2.7073,-3,0.3885,0.1461,0.0743,0.0293,63875
6,12:00:00,64245,3.9433,-2,0.4091,0.1610,0.0846,0.0345,64245
6,13:00:00,64301,5.5663,-1,0.4365,0.1838,0.1006,0.0425,64301
6,14:00:00,60084,7.8275,0,0.4674,0.2122,0.1209,0.0527,60084
6,15:00:00,64490,9.4065,0,0.4840,0.2314,0.1368,0.0628,64490
6,16:00:00,62007,10.7321,0,0.4959,0.2470,0.1474,0.0711,62007
6,17:00:00,69207,13.0256,1,0.5179,0.2756,0.1722,0.0855,69207
6,18:00:00,63697,14.0482,2,0.5325,0.2901,0.1829,0.0916,63697
6,19:00:00,57474,14.1935,2,0.5303,0.2923,0.1860,0.0948,57474
6,20:00:00,45255,14.3638,2,0.5344,0.2939,0.1893,0.0943,45255
6,21:00:00,32202,13.5577,2,0.5336,0.2858,0.1799,0.0869,32202
6,22:00:00,15280,11.4940,1,0.5039,0.2505,0.1577,0.0791,15280
6,23:00:00,6361,8.4762,0,0.4817,0.2322,0.1284,0.0583,6361
