weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1048,0.3817,-6,0.3426,0.1594,0.0868,0.0286,1048
0,01:00:00,455,-1.9099,-8,0.2813,0.1143,0.0659,0.0352,455
0,02:00:00,137,14.6788,1,0.5109,0.2628,0.1533,0.1095,137
0,03:00:00,63,0.6984,-10,0.2381,0.1429,0.1270,0.0794,63
0,04:00:00,86,-2.1860,-7,0.2907,0.1047,0.0814,0.0349,86
0,05:00:00,8777,-1.3334,-5,0.3073,0.0934,0.0382,0.0169,8777
0,06:00:00,66666,-0.6644,-5,0.3110,0.1040,0.0493,0.0209,66666
0,07:00:00,66283,0.1345,-5,0.3318,0.1202,0.0611,0.0260,66283
0,08:00:00,65943,1.4161,-5,0.3555,0.1436,0.0748,0.0330,65943
0,09:00:00,61006,2.4867,-4,0.3663,0.1573,0.0865,0.0375,61006
0,10:00:00,60072,3.3841,-4,0.3811,0.1656,0.0931,0.0424,60072
0,11:00:00,63413,4.3890,-3,0.3953,0.1784,0.1018,0.0465,63413
0,12:00:00,58414,5.4037,-3,0.4022,0.1874,0.1110,0.0543,58414
0,13:00:00,62240,6.0348,-3,0.4126,0.1953,0.1146,0.0554,62240
0,14:00:00,57450,6.8836,-3,0.4194,0.2097,0.1273,0.0628,57450
0,15:00:00,57551,7.8830,-2,0.4348,0.2223,0.1365,0.0671,57551
0,16:00:00,61062,8.3316,-2,0.4290,0.2259,0.1434,0.0724,61062
0,17:00:00,62655,8.2413,-2,0.4303,0.2331,0.1488,0.0755,62655
0,18:00:00,58054,8.7138,-2,0.4365,0.2380,0.1525,0.0781,58054
0,19:00:00,54385,7.4255,-3,0.4226,0.2293,0.1465,0.0730,54385
0,20:00:00,34820,7.5539,-3,0.4192,0.2316,0.1507,0.0744,34820
0,21:00:00,26569,5.7560,-3,0.4010,0.2058,0.1301,0.0621,26569
0,22:00:00,11918,3.0137,-4,0.3850,0.1862,0.1113,0.0493,11918
0,23:00:00,2883,-0.1412,-6,0.3309,0.1408,0.0826,0.0382,2883
1,00:00:00,993,-0.7936,-6,0.3061,0.1188,0.0604,0.0332,993
1,01:00:00,402,-2.8706,-7,0.3259,0.1194,0.0647,0.0224,402
1,02:00:00,134,5.7239,0,0.4701,0.2239,0.1045,0.0373,134
1,03:00:00,64,-3.6250,-11,0.2344,0.1719,0.0781,0.0156,64
1,04:00:00,84,-3.2143,-9,0.2857,0.1071,0.0714,0.0238,84
1,05:00:00,8763,-1.3996,-6,0.2960,0.0865,0.0388,0.0207,8763
1,06:00:00,66175,-1.3795,-6,0.2997,0.0956,0.0453,0.0208,66175
1,07:00:00,65284,-0.8238,-5,0.3157,0.1144,0.0574,0.0243,65284
1,08:00:00,64299,0.0240,-5,0.3327,0.1300,0.0668,0.0281,64299
1,09:00:00,59475,0.9132,-5,0.3453,0.1427,0.0763,0.0323,59475
1,10:00:00,57596,1.2547,-5,0.3497,0.1449,0.0783,0.0348,57596
