weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1128,0.9477,-5,0.3528,0.1374,0.0833,0.0346,1128
0,01:00:00,714,-2.1261,-7,0.2941,0.1246,0.0560,0.0224,714
0,02:00:00,149,5.0470,-6,0.3490,0.1544,0.0872,0.0537,149
0,03:00:00,55,27.1636,2,0.5273,0.2909,0.2364,0.1091,55
0,04:00:00,66,11.7576,0,0.4848,0.3030,0.1818,0.0758,66
0,05:00:00,8429,-2.5377,-6,0.2650,0.0819,0.0406,0.0229,8429
0,06:00:00,67133,-1.6491,-6,0.2875,0.0919,0.0465,0.0224,67133
0,07:00:00,65901,-0.0609,-5,0.3311,0.1194,0.0611,0.0270,65901
0,08:00:00,64994,0.9836,-5,0.3530,0.1392,0.0763,0.0343,64994
0,09:00:00,58374,1.4043,-5,0.3541,0.1475,0.0805,0.0359,58374
0,10:00:00,60628,3.0968,-4,0.3791,0.1634,0.0922,0.0426,60628
0,11:00:00,60973,3.7784,-3,0.3891,0.1743,0.0994,0.0456,60973
0,12:00:00,58170,4.9476,-3,0.4048,0.1882,0.1104,0.0517,58170
0,13:00:00,60543,6.2104,-2,0.4217,0.2014,0.1200,0.0575,60543
0,14:00:00,56931,7.6962,-2,0.4406,0.2223,0.1344,0.0649,56931
0,15:00:00,57158,9.0365,-1,0.4589,0.2363,0.1464,0.0714,57158
0,16:00:00,59783,9.7928,-1,0.4533,0.2450,0.1553,0.0784,59783
0,17:00:00,62634,10.2289,-1,0.4584,0.2563,0.1642,0.0848,62634
0,18:00:00,56801,10.6194,-1,0.4636,0.2618,0.1716,0.0889,56801
0,19:00:00,56805,10.2907,-1,0.4583,0.2607,0.1708,0.0875,56805
0,20:00:00,36002,10.7529,-1,0.4724,0.2720,0.1768,0.0874,36002
0,21:00:00,27465,7.4951,-2,0.4345,0.2315,0.1447,0.0705,27465
0,22:00:00,12063,3.5059,-4,0.3910,0.1898,0.1077,0.0486,12063
0,23:00:00,3501,2.0560,-5,0.3879,0.1922,0.1074,0.0528,3501
1,00:00:00,1024,1.3711,-5,0.3564,0.1455,0.0830,0.0332,1024
1,01:00:00,658,-2.6748,-7,0.2979,0.1033,0.0638,0.0319,658
1,02:00:00,136,7.2794,-3,0.4191,0.1397,0.1029,0.0515,136
1,03:00:00,51,2.8039,-3,0.4314,0.2353,0.1176,0.0392,51
1,04:00:00,56,6.8750,-4,0.5000,0.2500,0.1250,0.0536,56
1,05:00:00,8481,-3.3299,-7,0.2527,0.0745,0.0373,0.0210,8481
1,06:00:00,67163,-2.2483,-6,0.2758,0.0851,0.0433,0.0209,67163
1,07:00:00,65589,-1.1247,-5,0.3172,0.1103,0.0550,0.0240,65589
1,08:00:00,63803,-0.6626,-5,0.3279,0.1217,0.0643,0.0287,63803
1,09:00:00,56921,-0.0687,-5,0.3302,0.1333,0.0722,0.0320,56921
1,10:00:00,58659,1.0917,-5,0.3483,0.1425,0.0799,0.0367,58659
1,11:00:00,58840,1.5851,-5,0.3526,0.1501,0.0834,0.0372,58840
1,12:00:00,56877,2.4871,-5,0.3607,0.1589,0.0923,0.0431,56877
1,13:00:00,59827,3.6004,-4,0.3796,0.1717,0.0988,0.0449,59827
1,14:00:00,55959,4.3797,-4,0.3912,0.1828,0.1061,0.0496,55959
1,15:00:00,56334,5.5495,-3,0.4126,0.2005,0.1191,0.0539,56334
1,16:00:00,58870,6.3649,-3,0.4170,0.2070,0.1267,0.0605,58870
