weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1282,3.1763,-4,0.3947,0.1685,0.0913,0.0406,1282
0,01:00:00,394,1.5152,-5,0.3503,0.1701,0.0939,0.0406,394
0,02:00:00,115,2.2348,-5,0.4087,0.1652,0.0609,0.0435,115
0,03:00:00,79,6.5443,-6,0.3544,0.1899,0.1392,0.0759,79
0,04:00:00,131,13.7252,-3,0.3664,0.1832,0.1221,0.0840,131
0,05:00:00,7192,0.6617,-5,0.3241,0.0940,0.0435,0.0217,7192
0,06:00:00,75894,0.9407,-4,0.3359,0.1035,0.0517,0.0243,75894
0,07:00:00,71024,2.3807,-4,0.3662,0.1363,0.0704,0.0317,71024
0,08:00:00,68807,4.1948,-3,0.4014,0.1667,0.0888,0.0404,68807
0,09:00:00,65836,5.0282,-3,0.4129,0.1808,0.1022,0.0464,65836
0,10:00:00,64371,6.7776,-2,0.4314,0.1972,0.1152,0.0547,64371
0,11:00:00,66249,7.5751,-2,0.4363,0.2055,0.1234,0.0601,66249
0,12:00:00,61955,8.5012,-1,0.4455,0.2154,0.1297,0.0657,61955
0,13:00:00,66177,10.0431,-1,0.4635,0.2340,0.1468,0.0732,66177
0,14:00:00,61444,11.1794,-1,0.4656,0.2448,0.1564,0.0810,61444
0,15:00:00,60372,11.1579,-1,0.4736,0.2487,0.1585,0.0817,60372
0,16:00:00,64957,11.7171,-1,0.4702,0.2561,0.1666,0.0880,64957
0,17:00:00,65919,12.2255,-1,0.4742,0.2645,0.1750,0.0951,65919
0,18:00:00,60183,12.8245,0,0.4827,0.2768,0.1841,0.0974,60183
0,19:00:00,57797,11.9735,-1,0.4744,0.2643,0.1755,0.0933,57797
0,20:00:00,40232,11.4644,-1,0.4723,0.2672,0.1754,0.0892,40232
0,21:00:00,36482,10.7921,0,0.4835,0.2581,0.1614,0.0777,36482
0,22:00:00,12292,4.7409,-3,0.4082,0.1926,0.1171,0.0534,12292
0,23:00:00,4177,3.5418,-4,0.3993,0.1903,0.1154,0.0503,4177
1,00:00:00,1254,0.7480,-4,0.3652,0.1348,0.0710,0.0279,1254
1,01:00:00,407,0.2948,-6,0.3342,0.1548,0.0663,0.0295,407
1,02:00:00,114,0.8246,-6,0.3333,0.1667,0.0702,0.0351,114
1,03:00:00,78,1.7692,-8,0.3333,0.1282,0.0897,0.0513,78
1,04:00:00,138,-3.1739,-7,0.2464,0.1014,0.0507,0.0145,138
1,05:00:00,7233,0.7249,-4,0.3242,0.0987,0.0463,0.0228,7233
1,06:00:00,76103,0.3991,-4,0.3298,0.1035,0.0497,0.0225,76103
1,07:00:00,70538,1.2385,-4,0.3498,0.1279,0.0644,0.0275,70538
1,08:00:00,68669,2.9437,-3,0.3882,0.1536,0.0798,0.0336,68669
1,09:00:00,65489,3.7913,-3,0.3935,0.1701,0.0933,0.0394,65489
1,10:00:00,62302,4.7744,-3,0.3966,0.1757,0.0994,0.0462,62302
1,11:00:00,65039,5.6590,-3,0.4144,0.1874,0.1071,0.0494,65039
1,12:00:00,61593,6.6362,-3,0.4173,0.1961,0.1167,0.0559,61593
1,13:00:00,65284,8.4222,-2,0.4351,0.2158,0.1326,0.0666,65284
1,14:00:00,61338,9.3941,-2,0.4411,0.2276,0.1423,0.0722,61338
1,15:00:00,60137,10.3139,-2,0.4492,0.2369,0.1515,0.0789,60137
1,16:00:00,64758,11.4918,-2,0.4506,0.2451,0.1618,0.0879,64758
1,17:00:00,65837,12.8440,-1,0.4650,0.2630,0.1770,0.0988,65837
1,18:00:00,60154,13.2409,-1,0.4654,0.2698,0.1859,0.1031,60154
1,19:00:00,57622,12.9831,-1,0.4624,0.2701,0.1855,0.1013,57622
1,20:00:00,39804,13.2812,-1,0.4600,0.2704,0.1867,0.1041,39804
1,21:00:00,36041,10.7856,-1,0.4554,0.2507,0.1655,0.0876,36041
1,22:00:00,12118,5.5257,-4,0.3986,0.1998,0.1248,0.0629,12118
1,23:00:00,3932,3.1165,-5,0.3716,0.1872,0.1155,0.0539,3932
2,00:00:00,1179,-1.6327,-6,0.3282,0.1213,0.0534,0.0237,1179
2,01:00:00,405,-2.8963,-8,0.2765,0.1185,0.0691,0.0296,405
2,02:00:00,115,2.3304,-7,0.3826,0.1565,0.0783,0.0435,115
2,03:00:00,67,8.4328,-1,0.4328,0.2537,0.1940,0.0746,67
2,04:00:00,133,2.4511,-4,0.3083,0.1128,0.0827,0.0301,133
2,05:00:00,7265,0.0106,-5,0.3213,0.0933,0.0449,0.0211,7265
2,06:00:00,76306,-0.1315,-5,0.3218,0.0989,0.0470,0.0211,76306
2,07:00:00,71127,0.8961,-4,0.3416,0.1235,0.0620,0.0270,71127
2,08:00:00,69143,2.2966,-4,0.3760,0.1499,0.0781,0.0326,69143
2,09:00:00,66037,2.7833,-3,0.3843,0.1617,0.0857,0.0347,66037
2,10:00:00,64257,3.6050,-3,0.3889,0.1677,0.0937,0.0399,64257
2,11:00:00,65974,4.3543,-3,0.4039,0.1776,0.0993,0.0424,65974
2,12:00:00,62218,5.4151,-3,0.4096,0.1883,0.1090,0.0499,62218
