weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1434,0.3989,-6,0.3347,0.1492,0.0816,0.0356,1434
0,01:00:00,589,-4.3005,-9,0.2801,0.1104,0.0594,0.0255,589
0,02:00:00,131,4.2366,-7,0.3206,0.1756,0.1298,0.0916,131
0,03:00:00,104,10.0385,4,0.5481,0.2404,0.1731,0.0769,104
0,04:00:00,78,0.3590,-8,0.3077,0.1538,0.1154,0.0769,78
0,05:00:00,11858,-2.0555,-7,0.2460,0.0793,0.0438,0.0232,11858
0,06:00:00,65885,-1.1239,-6,0.2851,0.0919,0.0475,0.0249,65885
0,07:00:00,64461,0.2789,-6,0.3174,0.1186,0.0647,0.0305,64461
0,08:00:00,64630,2.2344,-5,0.3554,0.1443,0.0803,0.0394,64630
0,09:00:00,54857,3.5450,-4,0.3732,0.1593,0.0926,0.0451,54857
0,10:00:00,60827,4.5681,-3,0.3925,0.1763,0.1030,0.0490,60827
0,11:00:00,60111,5.5423,-3,0.4106,0.1879,0.1089,0.0517,60111
0,12:00:00,58065,6.8920,-3,0.4215,0.2022,0.1196,0.0594,58065
0,13:00:00,60324,8.1886,-2,0.4438,0.2219,0.1342,0.0646,60324
0,14:00:00,55458,10.1146,-1,0.4691,0.2440,0.1510,0.0745,55458
0,15:00:00,58029,10.8829,-1,0.4727,0.2542,0.1601,0.0794,58029
0,16:00:00,56559,11.5085,-1,0.4758,0.2625,0.1685,0.0846,56559
0,17:00:00,65399,12.1080,-1,0.4762,0.2722,0.1776,0.0924,65399
0,18:00:00,53921,13.6818,0,0.4954,0.2915,0.1918,0.1016,53921
0,19:00:00,54476,12.7415,-1,0.4780,0.2835,0.1892,0.0995,54476
0,20:00:00,39422,12.8445,0,0.4875,0.2861,0.1896,0.0972,39422
0,21:00:00,28738,11.1736,-1,0.4659,0.2659,0.1736,0.0883,28738
0,22:00:00,13775,5.8452,-3,0.3988,0.2038,0.1293,0.0673,13775
0,23:00:00,4482,4.2434,-5,0.3811,0.1807,0.1154,0.0611,4482
1,00:00:00,1161,-1.0413,-7,0.3144,0.1335,0.0672,0.0388,1161
1,01:00:00,545,-3.6624,-8,0.2991,0.1229,0.0697,0.0220,545
1,02:00:00,123,0.7480,-6,0.3496,0.1789,0.0976,0.0732,123
1,03:00:00,101,18.7327,2,0.5149,0.3168,0.2475,0.1683,101
1,04:00:00,75,-2.5067,-7,0.2933,0.0800,0.0533,0.0267,75
1,05:00:00,11672,-3.0501,-8,0.2364,0.0750,0.0404,0.0217,11672
1,06:00:00,65395,-2.1018,-7,0.2710,0.0872,0.0439,0.0207,65395
1,07:00:00,63813,-0.8779,-6,0.3066,0.1100,0.0580,0.0268,63813
1,08:00:00,64081,0.5450,-5,0.3348,0.1298,0.0691,0.0314,64081
1,09:00:00,54175,1.8023,-5,0.3521,0.1436,0.0789,0.0365,54175
1,10:00:00,59237,2.5579,-4,0.3627,0.1541,0.0886,0.0398,59237
1,11:00:00,59268,3.6167,-4,0.3807,0.1648,0.0945,0.0431,59268
1,12:00:00,57297,4.1910,-4,0.3845,0.1736,0.0989,0.0463,57297
1,13:00:00,59491,5.3434,-3,0.4037,0.1897,0.1103,0.0516,59491
1,14:00:00,55024,6.7761,-3,0.4231,0.2095,0.1242,0.0581,55024
1,15:00:00,57247,7.1905,-3,0.4245,0.2158,0.1296,0.0629,57247
1,16:00:00,55700,8.2072,-2,0.4336,0.2274,0.1410,0.0702,55700
1,17:00:00,63999,8.0951,-3,0.4258,0.2304,0.1456,0.0737,63999
1,18:00:00,51906,9.5372,-2,0.4463,0.2442,0.1579,0.0825,51906
1,19:00:00,52313,8.3713,-3,0.4245,0.2381,0.1549,0.0781,52313
1,20:00:00,37204,8.2115,-2,0.4358,0.2389,0.1528,0.0762,37204
1,21:00:00,26293,6.3322,-3,0.4124,0.2233,0.1383,0.0666,26293
1,22:00:00,12704,2.0099,-6,0.3462,0.1735,0.1056,0.0472,12704
1,23:00:00,4017,0.9933,-6,0.3435,0.1705,0.0966,0.0466,4017
2,00:00:00,1078,-1.7607,-6,0.3284,0.1345,0.0751,0.0306,1078
2,01:00:00,524,-4.6431,-8,0.2710,0.0992,0.0420,0.0286,524
2,02:00:00,111,0.2793,-8,0.3514,0.1712,0.0991,0.0631,111
2,03:00:00,85,20.7176,2,0.5647,0.3294,0.2471,0.1412,85
2,04:00:00,68,-0.3088,-9,0.2353,0.1618,0.1176,0.0441,68
2,05:00:00,11475,-3.1898,-8,0.2274,0.0706,0.0381,0.0212,11475
2,06:00:00,64822,-2.4331,-7,0.2622,0.0838,0.0439,0.0221,64822
2,07:00:00,63105,-1.1415,-6,0.2944,0.1043,0.0546,0.0259,63105
2,08:00:00,63276,0.3112,-5,0.3264,0.1260,0.0672,0.0308,63276
2,09:00:00,53605,1.6107,-5,0.3463,0.1395,0.0774,0.0371,53605
2,10:00:00,58778,2.8017,-4,0.3657,0.1547,0.0870,0.0411,58778
2,11:00:00,58420,3.8579,-4,0.3734,0.1645,0.0950,0.0465,58420
2,12:00:00,56803,4.6985,-4,0.3862,0.1736,0.1003,0.0501,56803
2,13:00:00,59263,6.2786,-3,0.4096,0.1913,0.1132,0.0568,59263
2,14:00:00,54772,7.8987,-2,0.4315,0.2148,0.1301,0.0648,54772
2,15:00:00,56942,8.9571,-2,0.4448,0.2261,0.1383,0.0690,56942
2,16:00:00,55835,9.8694,-1,0.4561,0.2393,0.1504,0.0766,55835
2,17:00:00,64528,10.6692,-1,0.4577,0.2511,0.1612,0.0853,64528
2,18:00:00,53005,12.6446,0,0.4832,0.2733,0.1782,0.0936,53005
2,19:00:00,53726,11.8056,-1,0.4614,0.2644,0.1747,0.0931,53726
2,20:00:00,38761,11.7372,-1,0.4742,0.2671,0.1746,0.0906,38761
2,21:00:00,27510,9.5656,-2,0.4479,0.2497,0.1590,0.0815,27510
2,22:00:00,13930,4.6879,-4,0.3824,0.1884,0.1174,0.0592,13930
2,23:00:00,4479,2.7919,-5,0.3755,0.1833,0.1063,0.0538,4479
3,00:00:00,1230,-2.4260,-7,0.3033,0.1114,0.0602,0.0244,1230
